"Date","Item","Quantity"
2019-03-31,"346",1354
2019-04-01,"346",1397
2019-04-02,"346",1341
2019-04-03,"346",1273
2019-04-04,"346",952
2019-04-05,"346",814
2019-04-06,"346",733
2019-04-07,"346",1536
2019-04-08,"346",1370
2019-04-09,"346",1415
2019-04-10,"346",1265
2019-04-11,"346",955
2019-04-12,"346",806
2019-04-13,"346",745
2019-04-14,"346",1582
2019-04-15,"346",1426
2019-04-16,"346",1445
2019-04-17,"346",1333
2019-04-18,"346",989
2019-04-19,"346",834
2019-04-20,"346",791
2019-04-21,"346",1650
2019-04-22,"346",1469
2019-04-23,"346",1573
2019-04-24,"346",1549
2019-04-25,"346",942
2019-04-26,"346",837
2019-04-27,"346",750
2019-04-28,"346",1502
2019-04-29,"346",1462
2019-03-31,"347",907
2019-04-01,"347",831
2019-04-02,"347",810
2019-04-03,"347",782
2019-04-04,"347",626
2019-04-05,"347",555
2019-04-06,"347",488
2019-04-07,"347",987
2019-04-08,"347",821
2019-04-09,"347",866
2019-04-10,"347",793
2019-04-11,"347",653
2019-04-12,"347",562
2019-04-13,"347",485
2019-04-14,"347",999
2019-04-15,"347",882
2019-04-16,"347",912
2019-04-17,"347",880
2019-04-18,"347",692
2019-04-19,"347",587
2019-04-20,"347",516
2019-04-21,"347",1039
2019-04-22,"347",910
2019-04-23,"347",938
2019-04-24,"347",919
2019-04-25,"347",680
2019-04-26,"347",576
2019-04-27,"347",490
2019-04-28,"347",979
2019-04-29,"347",907
2019-03-31,"348",1155
2019-04-01,"348",1207
2019-04-02,"348",1142
2019-04-03,"348",1126
2019-04-04,"348",807
2019-04-05,"348",656
2019-04-06,"348",594
2019-04-07,"348",1334
2019-04-08,"348",1145
2019-04-09,"348",1188
2019-04-10,"348",1073
2019-04-11,"348",842
2019-04-12,"348",667
2019-04-13,"348",627
2019-04-14,"348",1392
2019-04-15,"348",1180
2019-04-16,"348",1204
2019-04-17,"348",1144
2019-04-18,"348",881
2019-04-19,"348",688
2019-04-20,"348",675
2019-04-21,"348",1450
2019-04-22,"348",1195
2019-04-23,"348",1247
2019-04-24,"348",1218
2019-04-25,"348",851
2019-04-26,"348",695
2019-04-27,"348",673
2019-04-28,"348",1237
2019-04-29,"348",1167
2019-03-31,"349",581
2019-04-01,"349",553
2019-04-02,"349",557
2019-04-03,"349",551
2019-04-04,"349",490
2019-04-05,"349",426
2019-04-06,"349",383
2019-04-07,"349",625
2019-04-08,"349",569
2019-04-09,"349",600
2019-04-10,"349",559
2019-04-11,"349",511
2019-04-12,"349",427
2019-04-13,"349",396
2019-04-14,"349",649
2019-04-15,"349",591
2019-04-16,"349",605
2019-04-17,"349",615
2019-04-18,"349",551
2019-04-19,"349",460
2019-04-20,"349",432
2019-04-21,"349",681
2019-04-22,"349",617
2019-04-23,"349",640
2019-04-24,"349",664
2019-04-25,"349",570
2019-04-26,"349",436
2019-04-27,"349",411
2019-04-28,"349",624
2019-04-29,"349",615
2019-03-31,"351",950
2019-04-01,"351",862
2019-04-02,"351",871
2019-04-03,"351",804
2019-04-04,"351",705
2019-04-05,"351",605
2019-04-06,"351",535
2019-04-07,"351",1028
2019-04-08,"351",898
2019-04-09,"351",931
2019-04-10,"351",870
2019-04-11,"351",735
2019-04-12,"351",597
2019-04-13,"351",540
2019-04-14,"351",1085
2019-04-15,"351",938
2019-04-16,"351",987
2019-04-17,"351",939
2019-04-18,"351",775
2019-04-19,"351",629
2019-04-20,"351",570
2019-04-21,"351",1112
2019-04-22,"351",962
2019-04-23,"351",1015
2019-04-24,"351",978
2019-04-25,"351",762
2019-04-26,"351",615
2019-04-27,"351",546
2019-04-28,"351",1065
2019-04-29,"351",950
2019-03-31,"352",1238
2019-04-01,"352",1261
2019-04-02,"352",1213
2019-04-03,"352",1187
2019-04-04,"352",899
2019-04-05,"352",730
2019-04-06,"352",672
2019-04-07,"352",1387
2019-04-08,"352",1230
2019-04-09,"352",1269
2019-04-10,"352",1180
2019-04-11,"352",917
2019-04-12,"352",718
2019-04-13,"352",683
2019-04-14,"352",1444
2019-04-15,"352",1260
2019-04-16,"352",1284
2019-04-17,"352",1247
2019-04-18,"352",953
2019-04-19,"352",752
2019-04-20,"352",731
2019-04-21,"352",1504
2019-04-22,"352",1284
2019-04-23,"352",1354
2019-04-24,"352",1326
2019-04-25,"352",939
2019-04-26,"352",760
2019-04-27,"352",717
2019-04-28,"352",1360
2019-04-29,"352",1261
2019-03-31,"354",581
2019-04-01,"354",578
2019-04-02,"354",545
2019-04-03,"354",548
2019-04-04,"354",495
2019-04-05,"354",395
2019-04-06,"354",334
2019-04-07,"354",672
2019-04-08,"354",572
2019-04-09,"354",622
2019-04-10,"354",565
2019-04-11,"354",511
2019-04-12,"354",383
2019-04-13,"354",368
2019-04-14,"354",670
2019-04-15,"354",610
2019-04-16,"354",624
2019-04-17,"354",613
2019-04-18,"354",536
2019-04-19,"354",412
2019-04-20,"354",386
2019-04-21,"354",686
2019-04-22,"354",620
2019-04-23,"354",653
2019-04-24,"354",630
2019-04-25,"354",536
2019-04-26,"354",384
2019-04-27,"354",352
2019-04-28,"354",620
2019-04-29,"354",605
2019-03-31,"355",862
2019-04-01,"355",807
2019-04-02,"355",802
2019-04-03,"355",826
2019-04-04,"355",721
2019-04-05,"355",626
2019-04-06,"355",574
2019-04-07,"355",930
2019-04-08,"355",852
2019-04-09,"355",840
2019-04-10,"355",865
2019-04-11,"355",733
2019-04-12,"355",624
2019-04-13,"355",575
2019-04-14,"355",952
2019-04-15,"355",890
2019-04-16,"355",893
2019-04-17,"355",937
2019-04-18,"355",781
2019-04-19,"355",648
2019-04-20,"355",598
2019-04-21,"355",1018
2019-04-22,"355",927
2019-04-23,"355",934
2019-04-24,"355",966
2019-04-25,"355",798
2019-04-26,"355",633
2019-04-27,"355",593
2019-04-28,"355",981
2019-04-29,"355",904
2019-03-31,"374",638
2019-04-01,"374",615
2019-04-02,"374",676
2019-04-03,"374",619
2019-04-04,"374",516
2019-04-05,"374",385
2019-04-06,"374",348
2019-04-07,"374",694
2019-04-08,"374",652
2019-04-09,"374",664
2019-04-10,"374",646
2019-04-11,"374",532
2019-04-12,"374",385
2019-04-13,"374",366
2019-04-14,"374",706
2019-04-15,"374",665
2019-04-16,"374",662
2019-04-17,"374",677
2019-04-18,"374",565
2019-04-19,"374",412
2019-04-20,"374",376
2019-04-21,"374",736
2019-04-22,"374",682
2019-04-23,"374",682
2019-04-24,"374",688
2019-04-25,"374",554
2019-04-26,"374",389
2019-04-27,"374",348
2019-04-28,"374",677
2019-04-29,"374",656
2019-03-31,"434",560
2019-04-01,"434",526
2019-04-02,"434",522
2019-04-03,"434",506
2019-04-04,"434",472
2019-04-05,"434",336
2019-04-06,"434",310
2019-04-07,"434",604
2019-04-08,"434",537
2019-04-09,"434",561
2019-04-10,"434",508
2019-04-11,"434",478
2019-04-12,"434",332
2019-04-13,"434",317
2019-04-14,"434",634
2019-04-15,"434",563
2019-04-16,"434",581
2019-04-17,"434",563
2019-04-18,"434",499
2019-04-19,"434",342
2019-04-20,"434",332
2019-04-21,"434",655
2019-04-22,"434",575
2019-04-23,"434",588
2019-04-24,"434",588
2019-04-25,"434",505
2019-04-26,"434",342
2019-04-27,"434",313
2019-04-28,"434",592
2019-04-29,"434",562
